tool_id,casco_facility,supplier,part_number,part_description,tool_owner,active_flag,sop_date,cavity_number,active_cavity_number,related_cost,injection_system_type,nature_transfer_or_first_supplier,shots_before_transfer,tool_origin,transfer_date,yearly_volume,oem,warranty_shots,shared_tool_flag
T10000,CASCO-A,SupplierX,PN-6002,Clip,CASCO,Active,2019-06-28,1,1,68058,ColdRunner,1st Supplier,0,CN,,488814,OEM2,694804,N
T10001,CASCO-C,SupplierQ,PN-7715,Housing,CASCO,Active,2023-03-28,6,6,108778,ValveGate,1st Supplier,0,CN,,447289,OEM2,1386779,N
T10002,CASCO-A,SupplierY,PN-3676,Clip,CASCO,Active,2022-08-02,8,8,27767,HotRunner,Transfert,69404,CN,2023-04-27,343823,OEM1,714095,Y
T10003,CASCO-C,SupplierW,PN-8852,Housing,OEM,Active,2021-05-27,7,5,200483,HotRunner,Transfert,295514,EU,2022-01-31,534113,OEM2,1025694,N
T10004,CASCO-B,SupplierW,PN-3967,Bracket,CASCO,Active,2021-05-16,3,2,165960,ValveGate,1st Supplier,0,CN,,94395,OEM3,1753317,N
T10005,CASCO-C,SupplierY,PN-5807,Bracket,CASCO,Active,2023-09-14,4,3,30356,ColdRunner,1st Supplier,0,EU,,554213,OEM2,617953,Y
T10006,CASCO-A,SupplierY,PN-9386,Panel,CASCO,Inactive,2019-06-21,5,3,63262,ColdRunner,1st Supplier,0,EU,,513131,OEM2,1790946,N
T10007,CASCO-B,SupplierW,PN-5854,Panel,CASCO,Active,2022-10-26,2,1,143310,ColdRunner,Transfert,407937,EU,2024-06-05,312107,OEM2,527486,N
T10008,CASCO-B,SupplierX,PN-7136,Housing,OEM,Active,2020-02-07,3,3,139698,HotRunner,Transfert,154326,CN,2020-09-17,445367,OEM3,685407,Y
T10009,CASCO-B,SupplierZ,PN-9176,Bracket,OEM,Active,2019-07-08,2,1,202494,ColdRunner,Transfert,113744,EU,2020-02-17,321759,OEM3,1592818,N
T10010,CASCO-A,SupplierQ,PN-9770,Clip,CASCO,Active,2021-11-18,8,8,73863,HotRunner,1st Supplier,0,CN,,175883,OEM1,2045663,N
T10011,CASCO-C,SupplierW,PN-5494,Bracket,CASCO,Active,2024-05-05,6,5,231928,HotRunner,1st Supplier,0,CN,,483924,OEM2,675304,Y
T10012,CASCO-B,SupplierW,PN-4751,Cover,CASCO,Active,2023-01-11,7,5,116673,ColdRunner,1st Supplier,0,CN,,162634,OEM2,959984,Y
T10013,CASCO-C,SupplierX,PN-2772,Cover,CASCO,Inactive,2023-03-03,7,5,207419,ColdRunner,1st Supplier,0,EU,,202381,OEM1,2335264,Y
T10014,CASCO-B,SupplierX,PN-5836,Bracket,CASCO,Active,2022-12-05,8,7,67211,ValveGate,1st Supplier,0,EU,,321189,OEM3,2477304,N
T10015,CASCO-A,SupplierY,PN-9264,Panel,CASCO,Active,2023-04-22,1,1,18872,,1st Supplier,0,EU,,505681,OEM1,1578334,Y
T10016,CASCO-C,SupplierY,PN-5383,Housing,CASCO,Active,2021-10-23,8,7,23212,HotRunner,Transfert,198920,CN,2022-05-27,242677,OEM2,1283483,Y
T10017,CASCO-A,SupplierX,PN-4135,Cover,CASCO,Active,2019-09-14,1,1,99448,ValveGate,1st Supplier,0,EU,,306602,OEM1,1063113,Y
T10018,CASCO-A,SupplierQ,PN-1965,Housing,CASCO,Active,2023-08-07,4,4,238756,HotRunner,1st Supplier,0,CN,,44165,OEM1,1647394,Y
T10019,CASCO-C,SupplierX,PN-4507,Bracket,CASCO,Active,2021-06-19,5,4,21687,HotRunner,Transfert,428143,CN,2022-01-21,87196,OEM3,1600014,N
T10020,CASCO-C,SupplierW,PN-3130,Housing,OEM,Active,2021-09-27,3,2,98554,HotRunner,1st Supplier,0,EU,,52449,OEM1,948456,Y
T10021,CASCO-C,SupplierZ,PN-9789,Housing,OEM,Active,2021-01-11,2,1,36227,ColdRunner,Transfert,76054,CN,2021-04-02,61794,OEM1,350168,N
T10022,CASCO-B,SupplierW,PN-5748,Cover,CASCO,Inactive,2020-01-01,2,2,233575,ValveGate,1st Supplier,0,CN,,523741,OEM3,633296,N
T10023,CASCO-C,SupplierY,PN-2232,Panel,OEM,Active,2024-01-28,7,5,172073,ColdRunner,Transfert,207626,EU,2025-02-05,508356,OEM3,2408830,N
T10024,CASCO-A,SupplierY,PN-1606,Cover,OEM,Active,2023-04-13,3,1,193045,ColdRunner,1st Supplier,0,CN,,496694,OEM1,1219940,Y
T10025,CASCO-C,SupplierW,PN-8655,Bracket,CASCO,Active,2022-07-11,3,1,181181,HotRunner,1st Supplier,0,CN,,52229,OEM1,1361067,N
T10026,CASCO-B,SupplierY,PN-9382,Housing,CASCO,Inactive,2021-03-15,8,7,167686,HotRunner,1st Supplier,0,CN,,65034,OEM3,1327636,N
T10027,CASCO-A,SupplierW,PN-7866,Panel,CASCO,Active,2023-07-04,2,2,195692,ColdRunner,1st Supplier,0,CN,,182754,OEM3,2022017,Y
T10028,CASCO-B,SupplierX,PN-2114,Cover,OEM,Active,2021-12-26,8,8,11949,HotRunner,1st Supplier,0,EU,,347871,OEM3,442904,N
T10029,CASCO-B,SupplierX,PN-1884,Bracket,CASCO,Active,2021-06-05,8,6,217709,HotRunner,1st Supplier,0,EU,,213795,OEM2,482005,N
T10030,CASCO-A,SupplierW,PN-2781,Panel,CASCO,Active,2021-06-19,5,3,187567,HotRunner,1st Supplier,0,CN,,302784,OEM1,906863,N
T10031,CASCO-B,SupplierW,PN-7759,Housing,CASCO,Active,2020-03-30,2,1,187463,HotRunner,Transfert,337032,CN,2020-05-13,120336,OEM3,1370648,N
T10032,CASCO-B,SupplierX,PN-7887,Bracket,CASCO,Active,2019-07-04,2,2,104424,ColdRunner,1st Supplier,0,CN,,443851,OEM1,1776472,N
T10033,CASCO-A,SupplierQ,PN-8539,Clip,Supplier,Inactive,2022-01-14,3,3,202209,ColdRunner,1st Supplier,0,EU,,202058,OEM1,1379555,N
T10034,CASCO-A,SupplierX,PN-1872,Cover,CASCO,Active,2023-11-11,5,4,101636,HotRunner,1st Supplier,0,EU,,58593,OEM3,1270569,N
T10035,CASCO-C,SupplierQ,PN-2378,Panel,OEM,Active,2019-05-08,2,1,21751,ColdRunner,Transfert,67623,EU,2019-10-13,450761,OEM2,2363218,N
T10036,CASCO-B,SupplierW,PN-9101,Cover,Supplier,Active,2023-09-13,4,4,227876,ColdRunner,1st Supplier,0,CN,,543617,OEM1,654241,N
T10037,CASCO-B,SupplierQ,PN-9357,Housing,OEM,Active,2023-07-14,1,1,66288,,1st Supplier,0,CN,,28516,OEM1,1557801,N
T10038,CASCO-B,SupplierQ,PN-7530,Housing,CASCO,Active,2020-07-07,5,4,34456,ValveGate,Transfert,218373,CN,2020-11-29,273270,OEM2,1492938,N
T10039,CASCO-B,SupplierY,PN-1954,Cover,OEM,Active,2022-06-17,1,1,159255,HotRunner,1st Supplier,0,EU,,499760,OEM1,1341676,N
