tool_id,period_start_date,received_qty,realized_shots,cumulative_realized_shots
T10000,2024-01-01,33108,39332,39332
T10000,2024-02-01,47630,90051,129383
T10000,2024-03-01,38415,45637,175020
T10000,2024-04-01,47181,56051,231071
T10000,2024-05-01,48999,58210,289281
T10000,2024-06-01,43437,79451,368732
T10000,2024-07-01,39378,46781,415513
T10000,2024-08-01,39600,47044,462557
T10000,2024-09-01,44636,69147,531704
T10000,2024-10-01,56436,67045,598749
T10000,2024-11-01,34767,41303,640052
T10000,2024-12-01,39898,47398,687450
T10000,2025-01-01,45504,54058,741508
T10000,2025-02-01,32146,38189,779697
T10000,2025-03-01,42436,50413,830110
T10000,2025-04-01,47123,55982,886092
T10000,2025-05-01,41229,48980,935072
T10000,2025-06-01,30049,35698,970770
T10001,2024-01-01,32987,224245,224245
T10001,2024-02-01,47304,321572,545817
T10001,2024-03-01,25983,176632,722449
T10001,2024-04-01,41207,280125,1002574
T10001,2024-05-01,34934,237481,1240055
T10001,2024-06-01,35990,244660,1484715
T10001,2024-07-01,31105,211451,1696166
T10001,2024-08-01,41906,284876,1981042
T10001,2024-09-01,41471,281919,2262961
T10001,2024-10-01,32832,286023,2548984
T10001,2024-11-01,40541,275597,2824581
T10001,2024-12-01,40499,275312,3099893
T10001,2025-01-01,36613,248895,3348788
T10001,2025-02-01,25953,227821,3576609
T10001,2025-03-01,39956,271620,3848229
T10001,2025-04-01,45990,312640,4160869
T10001,2025-05-01,31010,210805,4371674
T10001,2025-06-01,34999,237923,4609597
T10002,2024-01-01,30891,312616,312616
T10002,2024-02-01,25586,258930,571546
T10002,2024-03-01,25920,262310,833856
T10002,2024-04-01,36911,373539,1207395
T10002,2024-05-01,29575,425871,1633266
T10002,2024-06-01,30491,308568,1941834
T10002,2024-07-01,25351,256552,2198386
T10002,2024-08-01,21551,218096,2416482
T10002,2024-09-01,28228,285667,2702149
T10002,2024-10-01,32973,333686,3035835
T10002,2024-11-01,30788,311574,3347409
T10002,2024-12-01,30031,303913,3651322
T10002,2025-01-01,25494,397112,4048434
T10002,2025-02-01,27832,281659,4330093
T10002,2025-03-01,26143,264567,4594660
T10002,2025-04-01,37768,382212,4976872
T10002,2025-05-01,26076,263889,5240761
T10002,2025-06-01,32073,324578,5565339
T10003,2024-01-01,51226,256130,256130
T10003,2024-02-01,51972,259860,515990
T10003,2024-03-01,44182,220910,736900
T10003,2024-04-01,40863,204315,941215
T10003,2024-05-01,45891,229455,1170670
T10003,2024-06-01,43558,217790,1388460
T10003,2024-07-01,46266,231330,1619790
T10003,2024-08-01,47944,239720,1859510
